Source,Target,Weight
EpicGames,SpecialKSpamList,3944
HackForums,MangaTraders,977
MoDaCo,Tumblr,48994
Comcast,myRepoSpace,20
Gawker,NexusMods,23109
AcneOrg,QuantumBooter,60
OwnedCore,Spirol,1
WarInc,mSpy,342
Onverse,WPT,83
Stratfor,XSplit,630
KMRU,NextGenUpdate,91
LinuxMint,ModernBusinessSolutions,3296
Stratfor,Vodafone,41
BusinessAcumen,MajorGeeks,2
Lifeboat,LizardSquad,349
CrackCommunity,SprashivaiRu,11
ClixSense,XSplit,11636
BusinessAcumen,PaddyPower,3
ServerPact,UnrealEngine,644
Experian,VK,2518
AhaShare,Onverse,161
CivilOnline,DDO,420
GameTuts,Neopets,24794
LoungeBoard,MyVidster,1
EpicGames,Verified,5
Gamigo,LOTR,48523
AhaShare,MoneyBookers,885
Gamigo,WarInc,112047
Dominos,StarNet,4
SkTorrent,Stratfor,47
AndroidForums,MuslimDirectory,74
Hemmelig,Lastfm,1077
MPGH,WildStar,27013
Rambler,StarNet,3821
MajorGeeks,Neteller,3221
Trillian,iMesh,129818
GFAN,LOTR,1331
BusinessAcumen,PSX-Scene,1657
Comcast,Nihonomaru,299
CheapAssGamer,QatarNationalBank,20
SumoTorrent,TruckersMP,24
CrackCommunity,Flashback,8
Lookbook,mSpy,353
Boxee,Sony,10
BTSec,DLH,11926
Duowan,SCDailyPhoneSpamList,250
17Media,PSX-Scene,290
Dominos,Teracod,3
Pokebip,SprashivaiRu,29
FFShrine,WildStar,5805
Spirol,Yahoo,6
R2Games,iPmart,34335
AndroidForums,Trillian,39624
BigMoneyJobs,iDressup,24
Aipai,FlashFlashRevolution,981
CivilOnline,HackingTeam,6
Verified,WPT,2
AstroPID,Aternos,8
Yahoo,xat,2278
MailRu,Tesco,1
Adobe,myRepoSpace,34141
AhaShare,CivilOnline,59
ModernBusinessSolutions,Neteller,100396
Spirol,WPT,3
Gawker,eThekwiniMunicipality,12
SumoTorrent,iPmart,7074
Avast,PSX-Scene,20783
MailRu,PixelFederation,9
MangaTraders,Vodafone,37
GFAN,Nival,374
HackingTeam,LinkedIn,3507
Aternos,Lastfm,5463
DLH,Gawker,1412
Leet,Teracod,112
DDO,StarNet,16
Adobe,LoungeBoard,14535
AcneOrg,GFAN,1125
Lastfm,WarInc,106366
GTAGaming,Uiggy,436
LinuxMint,R2Games,1718
PS3Hax,PSX-Scene,45029
EpicGames,MangaTraders,1440
HackForums,SpecialKSpamList,2481
StarNet,VBulletin,41
QuantumBooter,Rambler,5
PHPFreaks,Xbox-Scene,1924
Flashback,MoneyBookers,270
PS3Hax,Yahoo,490
NetEase,gPotato,54956
AndroidForums,MoDaCo,30995
HeroesOfGaia,Win7Vista,89
Dropbox,QatarNationalBank,4770
FFShrine,iDressup,1023
SpecialKSpamList,Tesco,30
CheapAssGamer,FFShrine,12495
MailRu,Nulled,323
AndroidForums,eThekwiniMunicipality,30
GamerzPlanet,ModernBusinessSolutions,23078
Adobe,Duowan,36909
GFAN,MangaTraders,730
AndroidForums,MPGH,7361
BusinessAcumen,ClixSense,3
VBulletin,WarInc,1314
17Media,Onverse,2144
QatarNationalBank,ThisHabboForum,55
Nulled,PS3Hax,3085
Malwarebytes,Teracod,16
LinuxMint,SCDailyPhoneSpamList,1170
AstroPID,OwnedCore,199
MoDaCo,Solomid,833
QatarNationalBank,gPotato,57
Tianya,Trillian,7265
LinuxMint,Win7Vista,655
FlashFlashRevolution,LoungeBoard,198
LinkedIn,Tesco,498
WHMCS,Warframe,37
WIIUISO,WildStar,3251
Dropbox,MuslimDirectory,2215
MinecraftPocketEditionForum,Plex,70
Aipai,iPmart,2436
Gawker,mSpy,656
Avast,BigMoneyJobs,17
GameTuts,MyVidster,15
Bell,LOTR,5
NetEase,Sony,1301
Leet,LizardSquad,303
BTSec,Seedpeer,3384
AcneOrg,Insanelyi,641
CheapAssGamer,mSpy,284
DDO,Nival,13745
Sony,Stratfor,67
LOTR,NexusMods,144914
BitTorrent,VK,374
Dominos,KMRU,14
MyVidster,VBulletin,12
GameTuts,Plex,1212
MySpace,PHPFreaks,31722
ArmyForceOnline,PSX-Scene,300
BitTorrent,GeekedIn,815
Seedpeer,Xbox-Scene,1179
PokemonCreed,iPmart,642
MinecraftWorldMap,NextGenUpdate,1309
CannabisForum,MuslimDirectory,41
Leet,Yahoo,734
BTSec,GameTuts,6555
SpecialKSpamList,Warframe,6148
Onverse,Sony,36
Avast,iPmart,3666
Dodonew,MPGH,6512
FoxyBingo,Plex,63
EpicGames,WIIUISO,2472
Dominos,ServerPact,13
Gawker,SprashivaiRu,52
BitTorrent,MailRu,35
DDO,PokemonCreed,1967
COMELEC,Minefield,4
CannabisForum,Leet,803
000webhost,QatarNationalBank,336
VK,iPmart,43372
Duowan,PHPFreaks,19
CheapAssGamer,SprashivaiRu,20
Pokebip,Verified,6
MyVidster,Rambler,2
BigMoneyJobs,MoDaCo,66
Aternos,WarInc,2617
Lifeboat,PaddyPower,1262
Win7Vista,Yandex,33
Leet,SCDailyPhoneSpamList,38225
ArmyForceOnline,PaddyPower,373
MajorGeeks,QuantumBooter,25
CrackCommunity,HeroesOfNewerth,674
BlueSnapRegpack,PSX-Scene,2
Insanelyi,MinecraftWorldMap,71
HackForums,PokemonCreed,163
CivilOnline,FlashFlashRevolution,1742
GFAN,SpecialKSpamList,2817
Aternos,EpicGames,262
Dominos,Tumblr,20993
DLH,PS3Hax,5084
COMELEC,Mac-Torrents,23
GameTuts,iMesh,43504
EpicGames,XSplit,14388
MajorGeeks,Rambler,61
ArmyForceOnline,OwnedCore,1519
Hemmakvall,HeroesOfGaia,5
FlashFlashRevolution,myRepoSpace,575
000webhost,LOTR,11152
Malwarebytes,PokemonCreed,176
Tianya,Warframe,651
Aternos,Yahoo,22
GameTuts,ModernBusinessSolutions,42872
126,Tumblr,1710
Aternos,Uiggy,2679
KMRU,iPmart,677
MinecraftWorldMap,SpecialKSpamList,1124
Aternos,LoungeBoard,185
SkTorrent,SprashivaiRu,8
Aipai,Hemmakvall,4
GFAN,PixelFederation,13
AhaShare,DLH,400
Sony,Tianya,8
Hemmelig,StarNet,1
FlashFlashRevolution,IGF,38
PHPFreaks,PS3Hax,704
DLH,NexusMods,82746
PHPFreaks,WHMCS,1050
LoungeBoard,Neteller,191
GTAGaming,Teracod,100
IGF,MoneyBookers,6
Experian,SCDailyPhoneSpamList,982219
CrackCommunity,xat,248
Aternos,xat,16625
Neopets,QuantumBooter,1068
Vodafone,WPT,1
Lookbook,SCDailyPhoneSpamList,3028
QuantumBooter,Solomid,396
BlueSnapRegpack,OwnedCore,12
Gamigo,WildStar,58708
Plex,PokemonCreed,58
Forbes,Nulled,263
Interpals,UnrealEngine,2503
Dodonew,Experian,5335
HackForums,Sony,10
Solomid,TruckersMP,136
Onverse,gPotato,2892
MinecraftWorldMap,Trillian,1732
Dominos,Uiggy,191
MajorGeeks,Xbox-Scene,3858
Comcast,TruckersMP,5
Boxee,Rambler,97
SCDailyPhoneSpamList,Solomid,876
Boxee,Taobao,58
GamerzPlanet,Taobao,1533
HeroesOfGaia,iDressup,952
BattlefieldHeroes,Nihonomaru,3
eThekwiniMunicipality,mSpy,21
LOTR,Lookbook,632
GFAN,Vodafone,10
DDO,SkTorrent,151
000webhost,Lookbook,8185
NetEase,SpecialKSpamList,88384
FlashFlashRevolution,OwnedCore,17939
Boxee,QatarNationalBank,4
LoungeBoard,Tianya,41
Yahoo,myRepoSpace,101
Dropbox,SumoTorrent,15794
XSplit,Yahoo,1595
PS3Hax,Plex,3812
Plex,xat,752
BlackHatWorld,Sony,32
Dropbox,Tesco,182
BitTorrent,MyVidster,1
MPGH,Tumblr,224094
BTSec,Stratfor,7225
000webhost,Uiggy,12341
LoungeBoard,WPT,3
BigMoneyJobs,XSplit,15
Avast,Nival,228
Boxee,Minefield,124
Malwarebytes,Nulled,349
Neopets,XSplit,93256
LizardSquad,TruckersMP,38
MajorGeeks,eThekwiniMunicipality,15
DLH,WHMCS,250
MangaTraders,TRAI,64
NextGenUpdate,Nihonomaru,24772
Nulled,StarNet,23
Dodonew,MuslimDirectory,341
LinkedIn,StarNet,5621
Gamigo,Trillian,65657
AhaShare,LinkedIn,28870
MangaTraders,PaddyPower,111
BTSec,Duowan,461
PHPFreaks,Sony,7
BlueSnapRegpack,QatarNationalBank,2
GameTuts,MoDaCo,3355
LinkedIn,WarInc,42976
PHPFreaks,SprashivaiRu,9
LizardSquad,MajorGeeks,21
PaddyPower,Patreon,571
Neteller,uTorrent,1956
LOTR,LizardSquad,32
Dropbox,PS3Hax,52581
ClixSense,SpecialKSpamList,37844
Uiggy,Win7Vista,151
LoungeBoard,QatarNationalBank,1
MailRu,iMesh,66274
Flashback,LinkedIn,3873
Minefield,NetEase,543
COMELEC,Nival,38
Flashback,LizardSquad,12
MuslimDirectory,Pokebip,24
ClixSense,iDressup,2349
MailRu,Taobao,431
BlueSnapRegpack,EpicGames,8
Forbes,TruckersMP,21
DDO,xat,21932
GameTuts,QuantumBooter,1995
GamerzPlanet,XSplit,49540
Spirol,SumoTorrent,1
Neteller,myRepoSpace,490
AstroPID,GameTuts,206
000webhost,Tesco,6
Lastfm,Plex,70886
MySpace,eThekwiniMunicipality,2376
CivilOnline,Lookbook,728
MySpace,Verified,944
PSX-Scene,iDressup,203
Flashback,PSX-Scene,157
FFShrine,Nival,1303
MuslimDirectory,TRAI,1
FFShrine,VK,8301
Aipai,BlackHatWorld,492
Insanelyi,SCDailyPhoneSpamList,852
Minefield,MyVidster,2
COMELEC,Gamigo,174
ClixSense,gPotato,8311
BitTorrent,xat,140
Boxee,PHPFreaks,3068
MangaTraders,Verified,6
Dominos,GFAN,237
Avast,EpicGames,2653
Hemmelig,gPotato,92
UnrealEngine,iMesh,6197
HackingTeam,NexusMods,12
Leet,MoDaCo,1324
VK,uTorrent,41675
XSplit,Yandex,353
CivilOnline,GamerzPlanet,588
StarNet,Taobao,3
COMELEC,LinkedIn,18221
CheapAssGamer,MinecraftPocketEditionForum,52
VBulletin,myRepoSpace,770
HackingTeam,Minefield,1
BitTorrent,Nihonomaru,315
LinuxMint,PHPFreaks,1076
Mac-Torrents,MySpace,16268
MPGH,Tianya,3576
MangaTraders,Pokebip,713
Hemmelig,MoDaCo,55
MuslimDirectory,Neteller,101
FoxyBingo,ThisHabboForum,180
Gawker,MinecraftPocketEditionForum,25
GTAGaming,PokemonCreed,208
Gawker,LinuxMint,1810
126,gPotato,146
Warframe,uTorrent,373
Duowan,Nulled,181
Avast,iMesh,8088
MoneyBookers,Neteller,266641
HackForums,Minefield,329
Experian,MuslimDirectory,29
GFAN,MinecraftWorldMap,75
Dropbox,MyVidster,1004
HeroesOfNewerth,Minefield,6124
LOTR,Teracod,65
BitTorrent,Neteller,134
MoneyBookers,PixelFederation,281
MinecraftPocketEditionForum,Pokebip,20
Malwarebytes,VK,633
ArmyForceOnline,AstroPID,5
Forbes,Hemmakvall,26
NexusMods,OwnedCore,107015
ClixSense,TruckersMP,212
DLH,Dominos,664
Plex,ThisHabboForum,98
mSpy,myRepoSpace,229
HackForums,ServerPact,76
HeroesOfNewerth,OwnedCore,125776
Plex,myRepoSpace,831
LOTR,SprashivaiRu,99
Mac-Torrents,VK,1639
Lastfm,ServerPact,1130
Pokebip,iMesh,12106
MuslimDirectory,Verified,6
PokemonCreed,XSplit,2369
HeroesOfNewerth,Nival,76197
Avast,PHPFreaks,8308
GFAN,MySpace,69089
BlackHatWorld,MoDaCo,5748
CheapAssGamer,Flashback,58
CrackCommunity,MoneyBookers,121
Duowan,Yahoo,29
Boxee,myRepoSpace,249
VBulletin,iMesh,14074
Onverse,Warframe,879
AndroidForums,AstroPID,57
MoDaCo,PokemonCreed,440
COMELEC,PS3Hax,64
Lastfm,PixelFederation,1103
CrackCommunity,Onverse,59
126,Gawker,62
Lifeboat,Nival,4382
EpicGames,uTorrent,1373
Leet,PaddyPower,1021
Hemmelig,PixelFederation,2
Adobe,Interpals,276163
AstroPID,ThisHabboForum,93
MoDaCo,WHMCS,901
GeekedIn,Yandex,36
GFAN,GTAGaming,1165
FoxyBingo,Minefield,7
GTAGaming,LOTR,1086
Duowan,MinecraftWorldMap,9
FlashFlashRevolution,XSplit,33374
FFShrine,Minefield,467
Leet,OwnedCore,3262
BusinessAcumen,GamerzPlanet,23
LinuxMint,Tumblr,12789
BattlefieldHeroes,Dropbox,17
BlackHatWorld,IGF,376
BlackHatWorld,GTAGaming,1595
CannabisForum,VK,987
Vodafone,xat,38
PS3Hax,SCDailyPhoneSpamList,4143
Dominos,GameTuts,372
AhaShare,VBulletin,494
Hemmakvall,IGF,1
Patreon,WildStar,21448
Forbes,WarInc,1182
Aternos,DLH,58124
Hemmakvall,UnrealEngine,90
BitTorrent,HackingTeam,4
BitTorrent,NetEase,227
HackingTeam,WarInc,7
Dodonew,GeekedIn,2005
ModernBusinessSolutions,Yandex,13
Insanelyi,NetEase,1570
BlackHatWorld,OwnedCore,8371
Leet,NetEase,28379
DDO,WildStar,37676
Pokebip,TRAI,1
Gamigo,MailRu,6027
EpicGames,iDressup,97
BTSec,MySpace,922528
Experian,Taobao,385
MinecraftPocketEditionForum,Yahoo,7
PSX-Scene,Uiggy,297
DLH,GeekedIn,4014
Tianya,Yahoo,572
FFShrine,HackingTeam,4
BitTorrent,ThisHabboForum,18
000webhost,Rambler,16228
HeroesOfGaia,UnrealEngine,253
PaddyPower,Rambler,173
LizardSquad,MoneyBookers,70
SprashivaiRu,WarInc,411
AhaShare,FlashFlashRevolution,261
GameTuts,Tumblr,81102
QuantumBooter,UnrealEngine,182
GeekedIn,Leet,1113
GTAGaming,SCDailyPhoneSpamList,1336
BlackHatWorld,Hemmelig,20
Comcast,MySpace,101510
QuantumBooter,WPT,6
Flashback,WildStar,289
Malwarebytes,Verified,15
ThisHabboForum,Warframe,316
CheapAssGamer,Seedpeer,480
Insanelyi,MailRu,113
Sony,Taobao,2
UnrealEngine,Warframe,5029
MoDaCo,Teracod,683
PSX-Scene,SprashivaiRu,79
NextGenUpdate,TRAI,48
DDO,Spirol,9
HeroesOfGaia,VBulletin,176
COMELEC,myRepoSpace,29
VK,WarInc,8698
HeroesOfNewerth,WHMCS,1563
BigMoneyJobs,COMELEC,3
AndroidForums,GTAGaming,1282
Gawker,TruckersMP,19
MinecraftPocketEditionForum,MySpace,1002
Nulled,Tianya,742
HeroesOfGaia,Teracod,43
CivilOnline,Duowan,37762
Dropbox,Gawker,117392
Insanelyi,Tianya,209
LinkedIn,PHPFreaks,31050
Verified,Yahoo,23
Nival,QuantumBooter,132
LoungeBoard,Nival,189
QuantumBooter,TRAI,2
BattlefieldHeroes,Gawker,1
Boxee,MoDaCo,7583
MPGH,MuslimDirectory,102
SprashivaiRu,Uiggy,269
Gawker,Sony,210
Boxee,Teracod,2
Mac-Torrents,SCDailyPhoneSpamList,581
GTAGaming,Vodafone,8
FFShrine,SpecialKSpamList,6074
GTAGaming,Tumblr,15272
Neteller,UnrealEngine,1317
GameTuts,NetEase,4389
EpicGames,Minefield,152
LizardSquad,Verified,7
BTSec,GTAGaming,3241
BitTorrent,Nival,54
MangaTraders,PS3Hax,3542
MailRu,iPmart,2843
HeroesOfNewerth,uTorrent,6525
GamerzPlanet,Lifeboat,4976
LOTR,NetEase,43574
GameTuts,TRAI,14
126,Warframe,121
Spirol,VK,11
CannabisForum,Plex,462
Aipai,BigMoneyJobs,5
LOTR,Trillian,37923
SprashivaiRu,Win7Vista,169
Hemmakvall,Stratfor,17
MPGH,MySpace,399075
BTSec,XSplit,44240
Boxee,Trillian,7846
Dodonew,Warframe,1508
Verified,mSpy,14
Spirol,myRepoSpace,4
AndroidForums,Hemmelig,29
Malwarebytes,MinecraftPocketEditionForum,28
Avast,HackForums,344
MySpace,VK,1494176
Boxee,Plex,9212
HackingTeam,MoDaCo,17
Comcast,Uiggy,41
GameTuts,WPT,97
MangaTraders,Yandex,118
Verified,WarInc,17
SprashivaiRu,Tianya,84
Dodonew,Minefield,165
17Media,LinkedIn,31537
LinuxMint,ServerPact,23
Tesco,VK,1
Seedpeer,SumoTorrent,21789
EpicGames,OwnedCore,5025
Boxee,Patreon,1404
Gamigo,gPotato,90000
GamerzPlanet,Patreon,4268
SpecialKSpamList,Uiggy,13957
COMELEC,Gawker,78
BlackHatWorld,Seedpeer,1570
Neteller,Sony,361
Dominos,Seedpeer,335
DDO,Hemmelig,47
FFShrine,MinecraftPocketEditionForum,130
Lookbook,Solomid,775
FFShrine,LinuxMint,916
ServerPact,iPmart,182
Aipai,gPotato,1587
Aternos,NextGenUpdate,4607
Dropbox,Duowan,12208
Hemmakvall,QuantumBooter,5
LOTR,Nulled,755
BlackHatWorld,Interpals,2487
PSX-Scene,Xbox-Scene,11947
Uiggy,xat,10048
Lastfm,Patreon,111837
Gamigo,PokemonCreed,7681
Leet,LinuxMint,184
Verified,WIIUISO,10
Pokebip,gPotato,1151
PokemonCreed,SkTorrent,21
AndroidForums,XSplit,6822
GameTuts,WIIUISO,8742
BitTorrent,LinuxMint,405
ClixSense,Dropbox,123160
Rambler,Yahoo,24
MuslimDirectory,eThekwiniMunicipality,7
FFShrine,TruckersMP,77
GameTuts,Neteller,1324
GamerzPlanet,gPotato,39594
000webhost,CheapAssGamer,7017
Dominos,MySpace,88948
Lifeboat,QatarNationalBank,238
KMRU,Stratfor,142
Insanelyi,Teracod,23
PS3Hax,Tumblr,30005
BTSec,Neopets,82468
BitTorrent,TruckersMP,13
AndroidForums,iMesh,31391
CrackCommunity,PaddyPower,18
Aipai,WarInc,819
Onverse,Pokebip,513
Comcast,Taobao,1
000webhost,GameTuts,20150
EpicGames,PSX-Scene,2997
FoxyBingo,WIIUISO,235
Lifeboat,Minefield,487
HeroesOfGaia,SkTorrent,86
UnrealEngine,uTorrent,753
LOTR,myRepoSpace,243
NexusMods,Rambler,10365
LinuxMint,Yahoo,356
Hemmelig,iDressup,31
Uiggy,WPT,31
ServerPact,Teracod,3
Gamigo,UnrealEngine,13927
ArmyForceOnline,Verified,54
MailRu,Patreon,577
DDO,LOTR,129296
CivilOnline,Spirol,12
QatarNationalBank,WarInc,34
BlueSnapRegpack,iPmart,26
UnrealEngine,gPotato,4857
000webhost,126,3330
NextGenUpdate,iPmart,22964
MoneyBookers,PSX-Scene,2964
17Media,Tumblr,54767
GameTuts,eThekwiniMunicipality,8
Comcast,PHPFreaks,181
BusinessAcumen,xat,4
Gawker,Nival,385
FlashFlashRevolution,Rambler,56
Avast,NexusMods,6863
AcneOrg,iMesh,12709
Flashback,LOTR,478
17Media,SpecialKSpamList,15930
CivilOnline,PS3Hax,178
Neteller,NexusMods,16920
Flashback,PHPFreaks,58
CivilOnline,GameTuts,281
FoxyBingo,MoDaCo,451
TruckersMP,Vodafone,3
Tumblr,Warframe,26518
000webhost,Yandex,2658
Insanelyi,Pokebip,110
AstroPID,BlackHatWorld,658
Dodonew,Gawker,2484
17Media,Seedpeer,143
PixelFederation,iPmart,194
LinuxMint,MySpace,22612
BusinessAcumen,Lookbook,397
Dropbox,Plex,123930
NetEase,Verified,145
LinkedIn,QatarNationalBank,20637
BTSec,HackingTeam,44
Sony,Tumblr,1918
SkTorrent,WildStar,176
LOTR,Leet,1855
Experian,VBulletin,732
Malwarebytes,Trillian,3705
PokemonCreed,Seedpeer,55
Dropbox,TRAI,5093
PaddyPower,WHMCS,144
AstroPID,BusinessAcumen,51
Nihonomaru,Rambler,1756
Dodonew,WIIUISO,1016
R2Games,SkTorrent,3246
000webhost,R2Games,153835
MailRu,R2Games,6643
Tianya,Tumblr,46648
Comcast,MyVidster,3
BlackHatWorld,SCDailyPhoneSpamList,3663
17Media,WHMCS,114
MajorGeeks,R2Games,2880
MyVidster,Nival,12
CannabisForum,LinuxMint,274
Solomid,Stratfor,165
NextGenUpdate,Vodafone,28
LoungeBoard,NetEase,332
LinkedIn,Nihonomaru,83649
BTSec,Yandex,82
KMRU,Warframe,75
Stratfor,WHMCS,169
Adobe,MangaTraders,165829
GamerzPlanet,MailRu,1009
Hemmakvall,Taobao,5
Mac-Torrents,Seedpeer,1131
CivilOnline,HackForums,13
Dropbox,NetEase,499931
Dodonew,gPotato,11708
Dominos,Malwarebytes,31
AndroidForums,ThisHabboForum,169
HackForums,XSplit,9135
XSplit,Xbox-Scene,5273
Neopets,ServerPact,1444
QuantumBooter,WarInc,636
CrackCommunity,Insanelyi,130
HeroesOfNewerth,mSpy,2652
COMELEC,XSplit,95
EpicGames,PokemonCreed,209
Lastfm,MailRu,78002
StarNet,WarInc,25
BlueSnapRegpack,MangaTraders,17
Dropbox,Nival,26145
BitTorrent,MinecraftPocketEditionForum,27
Forbes,KMRU,56
KMRU,MoneyBookers,351
MajorGeeks,Verified,14
FlashFlashRevolution,SumoTorrent,474
Insanelyi,WildStar,450
MyVidster,Tianya,71
Nulled,SumoTorrent,372
ArmyForceOnline,MinecraftWorldMap,497
Avast,CivilOnline,161
ClixSense,Nulled,3506
Adobe,MySpace,21309458
SCDailyPhoneSpamList,WHMCS,516
CivilOnline,GTAGaming,120
17Media,Mac-Torrents,78
Stratfor,uTorrent,461
AstroPID,Lifeboat,13
eThekwiniMunicipality,xat,7
Hemmelig,iPmart,98
Adobe,MinecraftWorldMap,13528
Lookbook,Onverse,1292
Malwarebytes,Solomid,425
SpecialKSpamList,VBulletin,3823
Onverse,iMesh,37580
MangaTraders,Nihonomaru,144811
CivilOnline,Leet,3458
SumoTorrent,ThisHabboForum,109
AhaShare,Taobao,99
Boxee,HeroesOfNewerth,1820
Aipai,CannabisForum,134
Avast,Trillian,5662
Forbes,HackingTeam,22
FlashFlashRevolution,KMRU,101
Bell,ThisHabboForum,1
AstroPID,Malwarebytes,29
Duowan,PaddyPower,50
Insanelyi,Uiggy,164
AhaShare,GeekedIn,249
BattlefieldHeroes,MPGH,6
Lastfm,Rambler,128171
FFShrine,PaddyPower,379
Adobe,Nulled,47476
Adobe,BitTorrent,6871
BlueSnapRegpack,MinecraftWorldMap,3
HeroesOfNewerth,Malwarebytes,2261
MPGH,Warframe,18892
Tianya,xat,2129
NexusMods,Trillian,127891
MySpace,OwnedCore,237570
DDO,Lifeboat,3840
GTAGaming,Hemmelig,10
MinecraftWorldMap,SumoTorrent,37
GeekedIn,Interpals,4139
Nihonomaru,Nulled,3058
BitTorrent,PaddyPower,26
CannabisForum,ClixSense,1000
Neopets,TruckersMP,564
Aipai,Spirol,2
FoxyBingo,iPmart,842
000webhost,Lastfm,427394
LinuxMint,Pokebip,46
ServerPact,Sony,1
BTSec,iMesh,190587
BitTorrent,COMELEC,4
IGF,MinecraftWorldMap,2
Aipai,OwnedCore,3425
Flashback,Warframe,30
Hemmakvall,Onverse,7
Stratfor,SumoTorrent,194
BTSec,Warframe,3373
Adobe,Seedpeer,40274
Comcast,Mac-Torrents,34
AhaShare,Forbes,355
AndroidForums,GameTuts,2467
BlueSnapRegpack,Pokebip,1
FlashFlashRevolution,LinkedIn,62183
FlashFlashRevolution,Uiggy,696
FoxyBingo,Lifeboat,1030
CrackCommunity,LinuxMint,18
BlueSnapRegpack,Trillian,378
SprashivaiRu,VBulletin,119
BitTorrent,WarInc,117
AcneOrg,Avast,5203
Minefield,Xbox-Scene,39
Dodonew,MinecraftWorldMap,132
BlackHatWorld,GameTuts,6905
000webhost,Vodafone,176
CrackCommunity,Lifeboat,88
FlashFlashRevolution,MuslimDirectory,128
PaddyPower,TruckersMP,18
LinuxMint,SumoTorrent,224
Insanelyi,ModernBusinessSolutions,3873
MailRu,VK,2168930
HackingTeam,SumoTorrent,3
Aipai,MuslimDirectory,44
QatarNationalBank,myRepoSpace,19
MinecraftPocketEditionForum,WildStar,12
HackingTeam,XSplit,10
ArmyForceOnline,GameTuts,1793
Nulled,WHMCS,522
LinuxMint,Verified,2
PaddyPower,Trillian,1927
Forbes,XSplit,3710
000webhost,PixelFederation,251
MyVidster,Stratfor,7
FFShrine,Rambler,730
BusinessAcumen,Interpals,2
HeroesOfNewerth,Nulled,15881
Dodonew,Patreon,1438
Dropbox,GTAGaming,12502
Spirol,uTorrent,1
MuslimDirectory,Solomid,17
Aipai,WildStar,216
PokemonCreed,Rambler,37
PixelFederation,TRAI,4
BattlefieldHeroes,UnrealEngine,1
Teracod,WIIUISO,56
LizardSquad,iDressup,57
BlueSnapRegpack,Forbes,335
AstroPID,CrackCommunity,72
MyVidster,SCDailyPhoneSpamList,474
DLH,Spirol,1
Avast,Malwarebytes,4431
CannabisForum,WildStar,429
BigMoneyJobs,MajorGeeks,55
LinuxMint,WHMCS,177
QatarNationalBank,SCDailyPhoneSpamList,161
Lookbook,iDressup,6720
17Media,Taobao,139727
Solomid,iDressup,317
Experian,Rambler,5
Lifeboat,MySpace,301924
Dominos,MoDaCo,1491
Xbox-Scene,Yahoo,891
BitTorrent,mSpy,21
AcneOrg,eThekwiniMunicipality,4
BlueSnapRegpack,NextGenUpdate,26
SkTorrent,Yahoo,11
FlashFlashRevolution,mSpy,863
AhaShare,Vodafone,21
Boxee,LinuxMint,1552
AstroPID,Nulled,136
AndroidForums,Dropbox,195842
PixelFederation,WPT,1
ArmyForceOnline,LoungeBoard,85
BusinessAcumen,ServerPact,1
Lifeboat,SprashivaiRu,2179
BigMoneyJobs,Tumblr,717
COMELEC,HeroesOfGaia,40
HackForums,MinecraftWorldMap,169
Insanelyi,myRepoSpace,5652
NetEase,PHPFreaks,1935
StarNet,TruckersMP,8
KMRU,Yandex,572
AstroPID,NexusMods,379
Plex,QuantumBooter,44
CivilOnline,ModernBusinessSolutions,2821
CivilOnline,PixelFederation,6
17Media,LoungeBoard,36
DLH,Rambler,5167
Dodonew,Duowan,64202
FlashFlashRevolution,ServerPact,155
TruckersMP,WPT,2
FoxyBingo,NexusMods,356
Gawker,ServerPact,32
GamerzPlanet,MPGH,235618
GeekedIn,HackForums,914
Nival,StarNet,371
Onverse,QuantumBooter,209
GFAN,WHMCS,527
Pokebip,Trillian,847
MoDaCo,SkTorrent,565
MPGH,MailRu,2873
Lastfm,PSX-Scene,31212
MoDaCo,Nihonomaru,11033
DDO,PSX-Scene,2890
COMELEC,HeroesOfNewerth,1419
SprashivaiRu,WildStar,243
ArmyForceOnline,NextGenUpdate,2678
HackingTeam,Leet,43
MoDaCo,Nulled,1814
NexusMods,PaddyPower,1716
Duowan,myRepoSpace,184
Seedpeer,Tumblr,8201
NextGenUpdate,PHPFreaks,1836
126,LOTR,228
KMRU,PHPFreaks,24
FoxyBingo,WildStar,62
Lifeboat,Trillian,7761
126,WarInc,69
Experian,MoneyBookers,3262
AhaShare,HeroesOfGaia,74
Hemmelig,MPGH,90
Lookbook,Minefield,106
CannabisForum,SprashivaiRu,17
Lastfm,ModernBusinessSolutions,1140779
LinuxMint,LizardSquad,9
BusinessAcumen,LinuxMint,1
17Media,GameTuts,679
Lifeboat,Plex,810
Mac-Torrents,Onverse,179
FFShrine,Malwarebytes,1756
Interpals,ModernBusinessSolutions,54464
LOTR,Taobao,1575
TruckersMP,xat,1495
BlackHatWorld,Neopets,5805
FlashFlashRevolution,HackForums,1948
Hemmakvall,Nulled,20
Lookbook,MuslimDirectory,27
BigMoneyJobs,R2Games,87
AndroidForums,WarInc,2698
Duowan,iDressup,247
Aipai,HeroesOfGaia,156
BlackHatWorld,Rambler,170
Pokebip,ThisHabboForum,464
NetEase,PSX-Scene,4493
Adobe,Stratfor,136107
Aipai,Gamigo,1100
CrackCommunity,Neteller,97
PSX-Scene,Tesco,1
AcneOrg,Gamigo,985
Adobe,SpecialKSpamList,1686264
CrackCommunity,MinecraftPocketEditionForum,26
Pokebip,WildStar,2623
HackForums,TRAI,46
DDO,VBulletin,2545
NetEase,QuantumBooter,333
GamerzPlanet,KMRU,95
