Source,Target,Weight
FoxyBingo,HeroesOfGaia,92
BlackHatWorld,gPotato,2350
Dropbox,myRepoSpace,24437
Neopets,PSX-Scene,5252
BattlefieldHeroes,iMesh,7
ArmyForceOnline,LinkedIn,27249
MoneyBookers,mSpy,1766
GeekedIn,Hemmelig,11
VBulletin,WHMCS,5453
MyVidster,R2Games,157
IGF,SCDailyPhoneSpamList,1
iPmart,myRepoSpace,5496
GFAN,PSX-Scene,3032
126,Verified,1
LinuxMint,MoneyBookers,1140
Lifeboat,MinecraftWorldMap,2012
Experian,WIIUISO,1383
PixelFederation,SCDailyPhoneSpamList,128
PS3Hax,TruckersMP,193
NetEase,Yandex,46
Nihonomaru,R2Games,79678
OwnedCore,SCDailyPhoneSpamList,8018
COMELEC,QuantumBooter,14
000webhost,Tumblr,686387
Patreon,Xbox-Scene,1898
Patreon,Seedpeer,406
DDO,TRAI,13
Tesco,WarInc,1
Vodafone,WHMCS,8
MajorGeeks,Seedpeer,819
GFAN,Nulled,2195
17Media,WildStar,195
Verified,iMesh,235
Duowan,FoxyBingo,28
EpicGames,Gamigo,6112
AndroidForums,BigMoneyJobs,122
Flashback,PaddyPower,115
Boxee,LOTR,1362
Aipai,LinkedIn,39220
MuslimDirectory,xat,53
BlueSnapRegpack,SprashivaiRu,7
BlackHatWorld,Vodafone,15
AcneOrg,Leet,1200
Hemmelig,Taobao,19
Tianya,VBulletin,1335
MyVidster,PS3Hax,14
Aipai,NetEase,6365950
SumoTorrent,Yandex,19
CannabisForum,Stratfor,482
R2Games,Stratfor,3722
126,MangaTraders,18
Experian,MyVidster,93
ClixSense,Rambler,2525
MinecraftWorldMap,WildStar,1090
MangaTraders,QuantumBooter,58
Minefield,UnrealEngine,1043
Lookbook,Tumblr,461245
CrackCommunity,SkTorrent,9
MoneyBookers,Vodafone,52
FFShrine,Vodafone,21
Dropbox,WarInc,94954
GFAN,Nihonomaru,15317
HeroesOfGaia,LOTR,1829
GameTuts,Yahoo,373
Adobe,SprashivaiRu,87709
Plex,Vodafone,145
Dodonew,SpecialKSpamList,31379
BusinessAcumen,gPotato,1
AndroidForums,BitTorrent,465
Leet,Plex,589
Experian,Leet,5371
MuslimDirectory,WPT,8
Duowan,Solomid,203
CivilOnline,LinuxMint,49
PS3Hax,PixelFederation,20
AhaShare,MajorGeeks,608
FoxyBingo,HackForums,48
HackForums,SkTorrent,33
Hemmelig,ModernBusinessSolutions,78
HeroesOfNewerth,Insanelyi,2860
GTAGaming,Nival,376
17Media,TruckersMP,86
